['roate', 'slick', 'abuna', 'aback']                   ['bbgbb', 'bbbgg', 'ggbby', 'ggggg']                   aback True
['roate', 'plish', 'abase']                            ['bbgbg', 'bbbgb', 'ggggg']                            abase True
['roate', 'balks', 'abate']                            ['bbggg', 'yybbb', 'ggggg']                            abate True
['roate', 'genal', 'abbey']                            ['bbyby', 'bybyb', 'ggggg']                            abbey True
['roate', 'bloat', 'abbot']                            ['byyyb', 'ybyyg', 'ggggg']                            abbot True
['roate', 'macon', 'abhor']                            ['yyybb', 'bybgb', 'ggggg']                            abhor True
['roate', 'galis', 'abide']                            ['bbybg', 'bybyb', 'ggggg']                            abide True
['roate', 'genal', 'abled']                            ['bbyby', 'bybyy', 'ggggg']                            abled True
['roate', 'aband', 'abode']                            ['byybg', 'ggbby', 'ggggg']                            abode True
['roate', 'abort']                                     ['yyyyb', 'ggggg']                                     abort True
['roate', 'bloat', 'about']                            ['byyyb', 'ybgyg', 'ggggg']                            about True
['roate', 'aband', 'above']                            ['byybg', 'ggbbb', 'ggggg']                            above True
['roate', 'galis', 'abuse']                            ['bbybg', 'bybby', 'ggggg']                            abuse True
['roate', 'lysin', 'aevum', 'abyss']                   ['bbybb', 'byybb', 'gbbbb', 'ggggg']                   abyss True
['roate', 'macon', 'acorn']                            ['yyybb', 'byyyg', 'ggggg']                            acorn True
['roate', 'carrs', 'acrid']                            ['ybybb', 'yygbb', 'ggggg']                            acrid True
['roate', 'abort', 'actor']                            ['yyyyb', 'gbyyy', 'ggggg']                            actor True
['roate', 'butch', 'acute']                            ['bbygg', 'byyyb', 'ggggg']                            acute True
['roate', 'plish', 'adawn', 'adage']                   ['bbgbg', 'bbbbb', 'gggbb', 'ggggg']                   adage True
['roate', 'slink', 'adapt']                            ['bbgyb', 'bbbbb', 'ggggg']                            adapt True
['roate', 'clept', 'adept']                            ['bbyyy', 'bbggg', 'ggggg']                            adept True
['roate', 'lysin', 'admin']                            ['bbybb', 'bbbgg', 'ggggg']                            admin True
['roate', 'clint', 'admit']                            ['bbyyb', 'bbybg', 'ggggg']                            admit True
['roate', 'aband', 'adobe']                            ['byybg', 'gybby', 'ggggg']                            adobe True
['roate', 'bloat', 'adopt']                            ['byyyb', 'bbgyg', 'ggggg']                            adopt True
['roate', 'adore']                                     ['yyybg', 'ggggg']                                     adore True
['roate', 'macon', 'adorn']                            ['yyybb', 'bybyg', 'ggggg']                            adorn True
['roate', 'clint', 'fault', 'adult']                   ['bbyyb', 'bybbg', 'byggg', 'ggggg']                   adult True
['roate', 'lysin', 'adage', 'affix']                   ['bbybb', 'bbbgb', 'gbbbb', 'ggggg']                   affix True
['roate', 'aglus', 'afire']                            ['ybybg', 'gbbbb', 'ggggg']                            afire True
['roate', 'bloat', 'adopt', 'afoot']                   ['byyyb', 'bbgyg', 'gbgbg', 'ggggg']                   afoot True
['roate', 'linos', 'afoul']                            ['byybb', 'ybbyb', 'ggggg']                            afoul True
['roate', 'tweel', 'cater', 'after']                   ['ybyyy', 'ybbgb', 'byggg', 'ggggg']                   after True
['roate', 'slick', 'again']                            ['bbgbb', 'bbybb', 'ggggg']                            again True
['roate', 'plish', 'agape']                            ['bbgbg', 'ybbbb', 'ggggg']                            agape True
['roate', 'balks', 'agate']                            ['bbggg', 'bybbb', 'ggggg']                            agate True
['roate', 'clept', 'sweat', 'agent']                   ['bbyyy', 'bbgbg', 'bbgyg', 'ggggg']                   agent True
['roate', 'galis', 'agile']                            ['bbybg', 'yyyyb', 'ggggg']                            agile True
['roate', 'lysin', 'aging']                            ['bbybb', 'bbbyy', 'ggggg']                            aging True
['roate', 'linos', 'aglow']                            ['byybb', 'ybbgb', 'ggggg']                            aglow True
['roate', 'linos', 'agony']                            ['byybb', 'bbyyb', 'ggggg']                            agony True
['roate', 'macon', 'agora']                            ['yyybb', 'bybyb', 'ggggg']                            agora True
['roate', 'aglus', 'agree']                            ['ybybg', 'ggbbb', 'ggggg']                            agree True
['roate', 'genal', 'ahead']                            ['bbyby', 'bybgb', 'ggggg']                            ahead True
['roate', 'balms', 'cedar', 'aider']                   ['ybyby', 'bybbb', 'bygyg', 'ggggg']                   aider True
['roate', 'galis', 'aisle']                            ['bbybg', 'byyyy', 'ggggg']                            aisle True
['roate', 'scind', 'agush', 'alarm']                   ['ybgbb', 'bbbbb', 'gbbbb', 'ggggg']                   alarm True
['roate', 'lysin', 'alpha', 'album']                   ['bbybb', 'ybbbb', 'ggbbb', 'ggggg']                   album True
['roate', 'tweel', 'alert']                            ['ybyyy', 'ybgby', 'ggggg']                            alert True
['roate', 'galis', 'algae']                            ['bbybg', 'yyybb', 'ggggg']                            algae True
['roate', 'lysin', 'alibi']                            ['bbybb', 'ybbyb', 'ggggg']                            alibi True
['roate', 'genal', 'alien']                            ['bbyby', 'byyyy', 'ggggg']                            alien True
['roate', 'lysin', 'align']                            ['bbybb', 'ybbyg', 'ggggg']                            align True
['roate', 'galis', 'alike']                            ['bbybg', 'byyyb', 'ggggg']                            alike True
['roate', 'galis', 'alike', 'alive']                   ['bbybg', 'byyyb', 'gggbg', 'ggggg']                   alive True
['roate', 'lysin', 'balmy', 'allay']                   ['bbybb', 'yybbb', 'bygbg', 'ggggg']                   allay True
['roate', 'genal', 'abled', 'alley']                   ['bbyby', 'bybyy', 'gbggb', 'ggggg']                   alley True
['roate', 'bloat', 'allot']                            ['byyyb', 'bgyyg', 'ggggg']                            allot True
['roate', 'linos', 'aglow', 'allow']                   ['byybb', 'ybbgb', 'gbggg', 'ggggg']                   allow True
['roate', 'linos', 'aglow', 'alloy']                   ['byybb', 'ybbgb', 'gbggb', 'ggggg']                   alloy True
